startup_name,domain,round,amount_usd,investor,date,source,scraped_at,headquarters
Udaan,B2B platform,Debt Financing,300.0,others,,,2026-04-20,Bengaluru
All Things Baby,Baby & Mothercare,Series A,30.0,Manish Choksi Family Office,,,2026-04-20,Mumbai
All Things Baby,Baby & Mothercare,Series A,30.0,Richa Choksi,,,2026-04-20,Mumbai
Bebe Burp,Baby Food,Pre-Series A,8.0,Gruhas Collective Consumer Fund (GCCF),,,2026-04-20,Surat
The Hosteller,Backpacker Hostel,Equity and Debt,48.0,V3 Ventures,,,2026-04-20,Mumbai
The Hosteller,Backpacker Hostel,Equity and Debt,48.0,Blacksoil (Debt),,,2026-04-20,Mumbai
The Hosteller,Backpacker Hostel,Series A,32.0,V Cube Ventures,,,2026-04-20,Mumbai
The Hosteller,Backpacker Hostel,Series A,32.0,LetsVenture Angel Fund,,,2026-04-20,Mumbai
The Hosteller,Backpacker Hostel,Series A,32.0,Angelist,,,2026-04-20,Mumbai
The Hosteller,Backpacker Hostel,Series A,32.0,Others,,,2026-04-20,Mumbai
Purplle,Beauty & Personal Care,Series F,1500.0,Abu Dhabi Investment Authority (ADIA),,,2026-04-20,Mumbai
Purplle,Beauty & Personal Care,Series F,1500.0,Premji Invest,,,2026-04-20,Mumbai
Purplle,Beauty & Personal Care,Series F,1500.0,Blume Ventures,,,2026-04-20,Mumbai
Clayco Cosmetics,Beauty Commerce,Series A,2000000.0,Unilever Ventures,,,2026-04-20,Mumbai
Conscious Chemist,Beauty Commerce,Venture Round,1400000.0,Atomic Capital,,,2026-04-20,Delhi
Beaute Secrets,Beauty Tools,Cash Flow Financing,1.6,Velocity (Cash Flow Financing Platform),,,2026-04-20,Gurugram
Pilgrim,Beauty and Personal Care,Extended Series B,75.0,Fireside,,,2026-04-20,Mumbai
Pilgrim,Beauty and Personal Care,Extended Series B,75.0,Vertex Ventures,,,2026-04-20,Mumbai
Kindlife.in,"Beauty, wellness, and health",Series A,8000000.0,JB-Dooeun,,,2026-04-20,New Delhi
Kindlife.in,"Beauty, wellness, and health",Series A,8000000.0,TK Fund,,,2026-04-20,New Delhi
Kindlife.in,"Beauty, wellness, and health",Series A,8000000.0,MIXI Global Investments,,,2026-04-20,New Delhi
Kindlife.in,"Beauty, wellness, and health",Series A,8000000.0,Kalaari Capital,,,2026-04-20,New Delhi
Kindlife.in,"Beauty, wellness, and health",Series A,8000000.0,angel investors,,,2026-04-20,New Delhi
Proost,Beer Startup,Series A,30.0,Chimes Group,,,2026-04-20,New Delhi
Proost,Beer Startup,Series A,30.0,Srinivasan Namala,,,2026-04-20,New Delhi
Proost,Beer Startup,Series A,30.0,Hyderabad Angels,,,2026-04-20,New Delhi
Proost,Beer Startup,Series A,30.0,The Chennai Angels,,,2026-04-20,New Delhi
Proost,Beer Startup,Series A,30.0,others,,,2026-04-20,New Delhi
Rapido,Bike-Taxi Aggregator,Series E,200000000.0,WestBridge Capital,,,2026-04-20,Bengaluru
Rapido,Bike-Taxi Aggregator,Series E,200000000.0,Nexus Venture Partners,,,2026-04-20,Bengaluru
Rapido,Bike-Taxi Aggregator,Series E,200000000.0,Think Investments,,,2026-04-20,Bengaluru
Rapido,Bike-Taxi Aggregator,Series E,200000000.0,Invus Opportunities,,,2026-04-20,Bengaluru
Atomicwork,BioTech,Seed Round,,Strom Ventures,,,2026-04-20,$3 million
